patent_id,ipc_class
WO2022069084,A23
WO2022069084,A23
WO2022069084,A23
WO2022069084,A23
WO2022069084,A23
WO2022069084,A23
WO2022069084,A23
WO2022069084,A23
WO2022069084,A23
WO2022069084,C12
WO2022069084,C12
WO2022069084,A23
WO2022069084,A23
WO2022069084,A23
WO2022069084,A23
WO2022069084,C12
WO2022069084,A23
BR0010837,C07
BR0010837,C07
BR0010837,C07
BR0010837,C07
BR0010837,C07
BR0010837,C07
BR0010837,C07
BR0010837,C07
BR0010837,C07
BR0010837,C07
BR0010837,C07
BR8603984,C08
BR8603984,C08
BR8603984,C12
BR8603984,C12
BR8603984,C13
BR8603984,C13
BR0116522,A21
BR0116522,A21
BR0116522,A23
BR0116522,A23
BR0116522,A23
BR0116522,A23
BR0116522,A23
BR0116522,A23
BR0116522,A23
WO2012062338,C07
WO2012062338,C07
WO2012062338,C07
WO2012062338,C07
WO2012062338,C07
WO2015120859,C12
WO2010098408,C12
WO2010098408,C12
WO2010098408,C12
BR112018013770,C13
BR112018013770,C12
BR112018013770,C12
BR132012025497,C07
BR132012025497,C10
BR132012025497,C10
WO2014138594,C12
BR8206717,C10
BR8206717,C10
BR8206717,C10
BR8206717,C10
BR8206717,C10
BR8206717,C10
BR8206717,C10
BR9813133,C10
BR9813133,C10
BR9813133,C10
BR9813133,C10
BR9813133,C10
BR9813133,C10
BR0301183,C07
BR0301183,C07
WO2016140721,C12
WO2016140721,C08
BR102016015521,C07
BR102016015521,C10
BR102012032659,C10
BR102012032659,C10
BR102012032659,B01
BR0109376,C07
BR0109376,C07
BR0109376,C07
BR0109376,C07
BR0109376,C07
BR0109376,C07
BR0109376,C07
WO2014099186,C12
WO2014099186,C08
WO2014099186,C08
BRPI0702235,C07
BRPI0702235,B01
WO2015157617,C07
WO2015157617,C07
WO2007100052,B01
WO2007100052,B01
WO2007100052,B01
WO2007100052,C07
WO2007100052,C07
WO2007100052,C07
WO2007100052,C07
WO2022091142,C12
WO2022091142,C12
WO2022091142,C12
WO2008115242,C10
WO2008115242,C10
BR8102291,C10
BR8102291,C10
BR8102291,C10
BR8102291,C10
BR112022014497,C07
BR112022014497,C07
WO2014041344,C07
WO2014041344,C07
WO2014041344,C07
WO2014041344,C07
WO2014041344,C07
WO2014041344,C07
WO2014041344,C07
WO2014041344,C07
WO2014041344,C07
WO2014041344,C07
WO2008011598,C12
WO2008011598,C12
WO2010121348,C08
WO2010121348,C08
WO2010121348,C13
WO2010121348,C12
WO2010121348,C12
BR8901034,E21
BR8901034,E21
BR8901034,C08
BR8901034,C08
BR8901034,C08
BR8901034,C08
BR8901034,C08
BR8901034,C10
